ID,F3,F5,F6,F4,F1,F2
145,13,29,18,20,37,49
219,23,35,21,17,32,48
121,6,17,16,24,24,55
176,21,32,16,16,33,54
244,23,28,22,23,40,60
88,21,31,16,20,36,47
186,25,28,19,22,39,54
133,18,28,12,18,31,48
65,24,26,10,25,30,49
52,18,30,19,20,32,51
189,23,29,18,18,35,57
149,18,28,21,23,35,55
60,29,30,18,16,38,57
120,22,32,19,22,37,57
91,21,31,20,25,34,58
137,15,30,17,10,34,44
54,25,38,22,19,38,58
184,9,30,22,18,33,48
51,24,29,23,17,34,52
93,15,37,20,23,39,55
173,19,34,21,16,30,56
261,24,28,15,19,31,48
174,20,38,20,21,36,55
102,23,32,17,16,31,48
196,22,25,23,20,34,50
225,19,30,17,18,32,45
224,24,37,19,20,39,58
254,24,30,18,24,37,56
5,22,36,19,19,37,47
50,22,29,16,19,32,49
180,23,34,16,23,36,57
249,23,33,21,16,33,53
87,15,27,17,18,31,52
172,26,33,20,21,40,57
217,14,32,18,18,33,51
178,22,34,16,15,32,45
94,24,28,22,17,30,51
30,18,31,15,19,31,47
103,23,33,21,19,32,56
7,22,29,22,19,36,56
24,17,28,21,20,34,51
100,18,27,21,18,26,49
260,22,34,22,18,32,50
131,22,32,23,19,39,58
250,21,23,15,18,29,48
141,20,28,20,22,34,58
247,22,31,20,18,37,50
147,20,29,19,16,33,51
177,25,32,17,22,39,57
25,24,24,18,17,38,53
6,20,37,24,23,36,51
159,12,26,14,16,26,48
104,23,26,15,18,30,48
89,21,31,16,17,31,49
18,6,22,23,14,33,51
206,22,31,16,16,34,48
157,22,32,24,16,40,57
118,21,31,17,17,28,49
253,22,30,23,21,36,50
126,12,31,19,21,35,46
11,20,31,20,19,33,48
205,16,31,18,18,39,44
31,22,35,22,20,36,57
123,17,25,15,19,29,43
116,14,32,20,13,33,54
112,23,31,17,20,38,54
161,22,32,18,20,32,48
57,21,32,18,24,39,55
84,20,27,17,19,31,49
165,9,32,23,21,38,57
76,16,33,19,19,37,45
158,15,32,18,20,34,50
221,24,35,21,22,31,57
190,15,30,19,20,37,58
181,25,32,20,23,39,57
117,24,31,20,19,39,55
109,22,28,18,24,32,56
148,15,30,16,16,30,52
201,20,25,19,18,31,52
215,20,27,21,17,32,49
213,19,34,25,15,40,57
241,17,24,18,20,33,51
33,18,28,21,16,29,52
200,21,29,14,20,33,52
243,21,25,17,15,25,42
108,25,27,17,20,32,54
132,22,34,24,18,38,57
238,19,27,17,17,35,55
156,24,36,24,25,39,54
198,21,29,19,14,35,47
15,17,30,23,19,30,49
85,20,32,14,24,29,52
222,25,35,21,19,40,60
188,23,32,21,21,36,56
28,20,27,18,11,27,50
136,13,32,21,21,37,59
179,22,31,21,19,36,54
139,21,36,23,13,34,52
154,24,34,19,19,40,55
99,19,33,21,18,36,53
95,25,33,21,16,37,59
96,19,35,22,18,34,52
191,22,37,22,23,33,60
48,20,37,19,16,36,54
67,25,37,21,20,38,58
113,23,33,18,22,35,52
182,20,35,16,16,35,48
69,23,29,21,24,35,60
166,21,30,13,17,33,51
135,22,32,19,22,39,51
63,18,32,17,18,34,49
36,14,34,19,22,25,47
26,16,27,17,16,29,44
164,24,33,24,19,37,57
8,18,29,16,21,39,49
90,17,33,17,20,36,54
236,21,31,12,15,27,46
167,22,31,18,17,30,47
62,23,31,19,23,34,53
237,24,35,19,17,39,54
218,25,34,15,23,39,56
262,20,33,19,23,30,47
208,24,34,19,18,31,52
47,21,26,19,17,27,51
66,9,30,17,16,28,52
226,22,26,21,20,36,51
175,24,26,22,20,38,59
185,13,24,20,24,39,59
212,18,32,19,16,32,46
58,15,24,18,19,35,51
17,18,29,21,18,32,55
203,24,34,22,22,39,60
80,28,32,23,25,40,58
20,17,27,16,16,31,41
110,19,33,23,22,37,59
106,22,32,18,13,35,45
242,23,23,17,16,32,48
211,17,22,17,21,30,51
64,23,32,19,18,37,56
77,19,30,18,19,32,48
72,22,27,16,17,35,55
38,10,29,16,12,25,43
129,14,31,17,13,29,51
232,24,34,24,22,40,59
68,23,33,18,14,38,56
45,17,32,20,21,38,58
114,21,26,17,24,33,50
155,21,29,17,16,27,46
81,22,29,20,20,38,57
162,23,28,17,14,33,47
42,23,35,18,17,34,52
105,18,28,17,13,30,48
210,22,28,19,20,31,54
86,11,29,12,16,31,47
169,20,27,17,20,35,49
195,15,28,18,16,32,47
194,18,31,17,20,28,56
40,17,29,20,21,36,51
97,13,26,17,16,30,48
143,16,27,22,16,36,49
235,23,29,15,17,37,47
73,30,30,17,23,38,57
138,20,32,23,21,33,52
251,20,28,19,21,37,50
12,28,29,19,22,38,56
4,12,30,16,15,32,54
115,24,25,20,21,35,50
150,28,29,21,24,38,59
16,26,31,11,23,30,54
49,17,28,20,19,32,49
264,16,33,17,21,33,53
259,13,27,18,22,32,51
124,22,37,19,17,37,56
245,22,36,23,17,31,54
192,25,36,22,15,32,55
163,25,29,22,22,35,51
82,20,29,21,18,30,53
214,13,30,15,15,32,45
209,24,30,16,17,37,52
35,17,27,19,20,31,52
229,24,35,19,18,37,54
160,22,28,18,17,31,51
34,16,33,21,24,38,57
1,20,28,18,17,31,48
187,23,33,15,18,37,53
207,12,28,22,15,38,59
32,19,30,21,15,34,50
153,21,34,17,20,27,51
10,28,40,23,19,35,58
92,16,33,18,17,30,52
134,17,31,13,19,31,54
111,24,25,15,19,33,46
107,17,30,16,21,31,51
74,24,27,22,16,35,56
71,22,37,21,21,40,59
255,24,32,20,20,36,56
23,22,35,21,16,30,51
122,21,26,16,16,33,52
14,23,31,18,18,30,52
252,15,33,18,14,32,46
75,20,32,15,21,30,51
234,14,28,19,16,30,50
41,17,20,12,12,24,44
61,22,34,19,25,29,53
248,19,26,16,18,27,48
22,12,33,17,18,36,55
258,18,26,15,18,28,49
13,18,33,18,16,30,45
21,22,26,17,21,32,60
193,22,32,19,16,33,55
263,20,31,21,19,38,50
183,20,33,17,16,36,48
170,27,38,23,23,39,59
257,13,26,19,17,30,53
78,13,27,20,18,33,49
53,22,34,22,18,39,56
98,18,37,17,24,36,58
125,23,29,18,18,32,47
9,21,30,19,22,36,52
128,22,30,19,16,32,53
233,22,32,22,18,32,49
119,18,29,17,20,32,49
171,18,33,22,15,35,57
202,20,33,18,20,30,49
151,9,34,17,25,40,58
3,19,32,17,18,36,46
227,22,30,20,17,33,54
39,15,25,15,16,23,45
37,16,30,23,21,36,55
144,23,33,20,16,39,50
29,16,22,18,17,29,53
70,23,38,24,22,36,60
2,19,27,20,17,31,47
56,14,26,16,17,35,51
146,13,35,22,14,37,50
43,14,32,23,16,36,56
230,23,33,20,22,38,56
246,23,26,18,21,29,52
59,24,31,23,16,35,53
240,24,33,21,21,40,60
239,24,30,18,20,32,48
204,30,28,14,19,37,57
140,18,29,18,16,30,49
256,20,30,19,14,31,48
197,24,30,21,19,36,56
46,23,33,20,19,26,57
127,20,32,20,17,31,49
83,18,34,21,17,30,56
152,22,35,17,13,33,49
27,20,31,19,19,32,51
228,19,28,20,19,26,57
19,21,39,21,19,36,55
231,19,29,22,22,40,58
142,21,35,20,16,38,54
223,18,32,18,20,35,51
199,21,27,21,20,34,54
168,20,32,18,15,38,53
44,20,33,20,18,32,54
130,23,35,18,24,35,51
55,24,27,18,18,31,48
101,19,30,16,18,32,49
79,15,32,19,21,36,54
216,17,28,16,18,32,49
220,23,26,18,22,39,53
